epochs,LSTMLayers,LSTMDims,ReLULayers,ReLUDims,totalAcc,f1_macro,f1_micro,S,D;Q;C
60,3,200,1,100,0.6695,0.2577,0.6695,0.0706,0.0909,0.0000,0.9042
61,3,200,1,100,0.6611,0.2835,0.6611,0.1294,0.1364,0.0000,0.8738
62,3,200,1,100,0.6711,0.3324,0.6711,0.1647,0.1818,0.0588,0.8715
63,3,200,1,100,0.6661,0.2680,0.6661,0.0941,0.1061,0.0000,0.8925
64,3,200,1,100,0.6695,0.2454,0.6695,0.0588,0.0606,0.0000,0.9112
65,3,200,1,100,0.6527,0.2870,0.6527,0.1059,0.0909,0.0588,0.8715
66,3,200,1,100,0.6795,0.2550,0.6795,0.0235,0.0455,0.0588,0.9322
67,3,200,1,100,0.6812,0.2688,0.6812,0.0353,0.0909,0.0588,0.9252
68,3,200,1,100,0.6661,0.2822,0.6661,0.0235,0.1818,0.0588,0.8925
69,3,200,1,100,0.6644,0.3054,0.6644,0.1529,0.1061,0.0588,0.8762
70,3,200,1,100,0.6577,0.2814,0.6577,0.1176,0.0606,0.0588,0.8808
71,3,200,1,100,0.6661,0.3174,0.6661,0.0588,0.2121,0.1176,0.8785
72,3,200,1,100,0.6728,0.2760,0.6728,0.0706,0.0606,0.0588,0.9112
73,3,200,1,100,0.6762,0.2901,0.6762,0.0353,0.1061,0.1176,0.9136
74,3,200,1,100,0.6795,0.2445,0.6795,0.0235,0.0909,0.0000,0.9276
75,3,200,1,100,0.6896,0.2852,0.6896,0.0471,0.1061,0.0588,0.9322
76,3,200,1,100,0.6846,0.3459,0.6846,0.1176,0.1667,0.1176,0.8995
77,3,200,1,100,0.6896,0.3285,0.6896,0.1059,0.1212,0.1176,0.9159
78,3,200,1,100,0.6846,0.2905,0.6846,0.0706,0.0758,0.1176,0.9229
79,3,200,1,100,0.6812,0.2818,0.6812,0.0353,0.0606,0.1176,0.9276
80,3,200,1,100,0.6896,0.2897,0.6896,0.0588,0.1212,0.0588,0.9276
81,3,200,1,100,0.6879,0.3049,0.6879,0.0706,0.1667,0.0588,0.9159
82,3,200,1,100,0.6913,0.2827,0.6913,0.0824,0.0606,0.0588,0.9346
83,3,200,1,100,0.6930,0.2386,0.6930,0.0471,0.0303,0.0000,0.9509
84,3,200,1,100,0.6728,0.2866,0.6728,0.1529,0.1061,0.0000,0.8902
85,3,200,1,100,0.6779,0.2637,0.6779,0.1059,0.0606,0.0000,0.9136
86,3,200,1,100,0.6628,0.2900,0.6628,0.1176,0.0909,0.0588,0.8832
87,3,200,1,100,0.6644,0.2726,0.6644,0.0824,0.0606,0.0588,0.8972
88,3,200,1,100,0.6862,0.2408,0.6862,0.0588,0.0303,0.0000,0.9393
89,3,200,1,100,0.6913,0.2508,0.6913,0.0824,0.0303,0.0000,0.9416
90,3,200,1,100,0.6862,0.2593,0.6862,0.0824,0.0606,0.0000,0.9299
91,3,200,1,100,0.6879,0.2714,0.6879,0.0824,0.1061,0.0000,0.9252
92,3,200,1,100,0.6762,0.2486,0.6762,0.0471,0.0758,0.0000,0.9206
93,3,200,1,100,0.6728,0.2615,0.6728,0.1059,0.0606,0.0000,0.9065
94,3,200,1,100,0.6946,0.2859,0.6946,0.0941,0.0606,0.0588,0.9369
95,3,200,1,100,0.6795,0.2578,0.6795,0.0706,0.0758,0.0000,0.9206
96,3,200,1,100,0.6728,0.2422,0.6728,0.0588,0.0455,0.0000,0.9182
97,3,200,1,100,0.6661,0.2476,0.6661,0.0353,0.1061,0.0000,0.9042
98,3,200,1,100,0.6762,0.2465,0.6762,0.0235,0.1061,0.0000,0.9206
99,3,200,1,100,0.6812,0.2699,0.6812,0.0941,0.0909,0.0000,0.9159
100,3,200,1,100,0.6644,0.2656,0.6644,0.0353,0.1818,0.0000,0.8902
101,3,200,1,100,0.6812,0.2667,0.6812,0.0471,0.1364,0.0000,0.9182
102,3,200,1,100,0.6829,0.2701,0.6829,0.0824,0.1061,0.0000,0.9182
103,3,200,1,100,0.6913,0.2666,0.6913,0.0588,0.1061,0.0000,0.9346
104,3,200,1,100,0.6644,0.2885,0.6644,0.1176,0.1515,0.0000,0.8785
105,3,200,1,100,0.6997,0.2687,0.6997,0.0471,0.1212,0.0000,0.9463
106,3,200,1,100,0.6913,0.2848,0.6913,0.0824,0.1515,0.0000,0.9229
107,3,200,1,100,0.6762,0.2906,0.6762,0.1412,0.1212,0.0000,0.8949
108,3,200,1,100,0.6661,0.2867,0.6661,0.0706,0.1364,0.0588,0.8902
109,3,200,1,100,0.6812,0.2455,0.6812,0.0353,0.0758,0.0000,0.9299
110,3,200,1,100,0.6695,0.2522,0.6695,0.0471,0.0909,0.0000,0.9089
111,3,200,1,100,0.6711,0.2557,0.6711,0.0471,0.1061,0.0000,0.9089
112,3,200,1,100,0.6795,0.2701,0.6795,0.0941,0.0909,0.0000,0.9136
113,3,200,1,100,0.6695,0.2446,0.6695,0.0706,0.0455,0.0000,0.9112
114,3,200,1,100,0.6795,0.2428,0.6795,0.0235,0.0909,0.0000,0.9276
115,3,200,1,100,0.6711,0.2599,0.6711,0.0353,0.1515,0.0000,0.9042
116,3,200,1,100,0.6527,0.2443,0.6527,0.0471,0.0909,0.0000,0.8855
117,3,200,1,100,0.6762,0.2640,0.6762,0.0706,0.1061,0.0000,0.9112
118,3,200,1,100,0.6695,0.2541,0.6695,0.0706,0.0758,0.0000,0.9065
119,3,200,1,100,0.6644,0.2755,0.6644,0.0706,0.0909,0.0588,0.8949
120,3,200,1,100,0.6443,0.2992,0.6443,0.1294,0.1515,0.0588,0.8458
121,3,200,1,100,0.6812,0.2699,0.6812,0.0824,0.1061,0.0000,0.9159
122,3,200,1,100,0.6644,0.2604,0.6644,0.0824,0.0909,0.0000,0.8949
123,3,200,1,100,0.6762,0.2560,0.6762,0.0353,0.1212,0.0000,0.9159
124,3,200,1,100,0.6779,0.2984,0.6779,0.0941,0.1212,0.0588,0.9042
125,3,200,1,100,0.6695,0.2875,0.6695,0.0824,0.1061,0.0588,0.8972
126,3,200,1,100,0.6795,0.2827,0.6795,0.0824,0.0758,0.0588,0.9159
127,3,200,1,100,0.6628,0.2649,0.6628,0.0471,0.0758,0.0588,0.8995
128,3,200,1,100,0.6644,0.3000,0.6644,0.0471,0.1364,0.1176,0.8902
129,3,200,1,100,0.6862,0.2651,0.6862,0.1176,0.0455,0.0000,0.9252
130,3,200,1,100,0.6594,0.2631,0.6594,0.0941,0.0909,0.0000,0.8855
131,3,200,1,100,0.6829,0.2580,0.6829,0.0824,0.0606,0.0000,0.9252
132,3,200,1,100,0.6560,0.2414,0.6560,0.0824,0.0303,0.0000,0.8925
133,3,200,1,100,0.6913,0.2598,0.6913,0.0941,0.0455,0.0000,0.9369
134,3,200,1,100,0.6779,0.2767,0.6779,0.0353,0.1212,0.0588,0.9159
135,3,200,1,100,0.7013,0.2888,0.7013,0.0824,0.0758,0.0588,0.9463
