epochs,LSTMLayers,LSTMDims,ReLULayers,ReLUDims,totalAcc,f1_macro,f1_micro,For,Against,Neutral
25,3,50,1,50,0.6209,0.3018,0.6209,0.2143,0.0508,0.1875,0.8140
30,3,50,1,50,0.5686,0.2308,0.5686,0.1607,0.0169,0.0000,0.7652
35,3,50,1,50,0.6057,0.2698,0.6057,0.1964,0.0847,0.0000,0.7988
40,3,50,1,50,0.5904,0.2627,0.5904,0.1429,0.0339,0.1250,0.7896
45,3,50,1,50,0.5882,0.2716,0.5882,0.1607,0.1525,0.0000,0.7683
50,3,50,1,50,0.5490,0.2409,0.5490,0.1250,0.0508,0.0625,0.7348
55,3,50,1,50,0.6122,0.2569,0.6122,0.1429,0.0339,0.0625,0.8232
60,3,50,1,50,0.6187,0.2767,0.6187,0.1429,0.0847,0.0625,0.8232
65,3,50,1,50,0.5904,0.2819,0.5904,0.1607,0.0847,0.1250,0.7774
70,3,50,1,50,0.6078,0.2528,0.6078,0.1250,0.0847,0.0000,0.8140
75,3,50,1,50,0.6383,0.2780,0.6383,0.1250,0.0678,0.0625,0.8567
80,3,50,1,50,0.6057,0.2444,0.6057,0.0893,0.0847,0.0000,0.8171
85,3,50,1,50,0.6231,0.2502,0.6231,0.0536,0.1356,0.0000,0.8384
90,3,50,1,50,0.5861,0.2696,0.5861,0.1250,0.1864,0.0000,0.7652
95,3,50,1,50,0.5795,0.2771,0.5795,0.2143,0.1356,0.0000,0.7500
100,3,50,1,50,0.5882,0.2931,0.5882,0.1607,0.1864,0.0625,0.7591
105,3,50,1,50,0.5817,0.2800,0.5817,0.1786,0.1186,0.0625,0.7591
110,3,50,1,50,0.6166,0.2720,0.6166,0.1429,0.1356,0.0000,0.8140
115,3,50,1,50,0.5643,0.2587,0.5643,0.1250,0.1695,0.0000,0.7378
120,3,50,1,50,0.6166,0.2550,0.6166,0.1071,0.1017,0.0000,0.8262
125,3,50,1,50,0.5926,0.2337,0.5926,0.1071,0.0508,0.0000,0.8018
130,3,50,1,50,0.5882,0.2682,0.5882,0.1607,0.1356,0.0000,0.7713
135,3,50,1,50,0.5708,0.2493,0.5708,0.1429,0.1017,0.0000,0.7561
140,3,50,1,50,0.5839,0.2927,0.5839,0.3036,0.1525,0.0000,0.7378
145,3,50,1,50,0.6035,0.2491,0.6035,0.1071,0.0847,0.0000,0.8110
150,3,50,1,50,0.5969,0.2638,0.5969,0.1964,0.0847,0.0000,0.7866
155,3,50,1,50,0.5882,0.2623,0.5882,0.1607,0.1186,0.0000,0.7744
160,3,50,1,50,0.5991,0.2529,0.5991,0.1071,0.1017,0.0000,0.8018
165,3,50,1,50,0.6253,0.2797,0.6253,0.2143,0.0847,0.0000,0.8232
170,3,50,1,50,0.5969,0.2587,0.5969,0.1607,0.0847,0.0000,0.7927
175,3,50,1,50,0.6100,0.2975,0.6100,0.2500,0.1525,0.0000,0.7835
180,3,50,1,50,0.5969,0.2795,0.5969,0.2321,0.1186,0.0000,0.7744
185,3,50,1,50,0.5991,0.2657,0.5991,0.2321,0.0508,0.0000,0.7896
190,3,50,1,50,0.5839,0.2746,0.5839,0.2321,0.1186,0.0000,0.7561
195,3,50,1,50,0.6144,0.2565,0.6144,0.0893,0.1186,0.0000,0.8232
200,3,50,1,50,0.6144,0.2816,0.6144,0.1429,0.1864,0.0000,0.8018
5,3,50,1,100,0.6776,0.2609,0.6776,0.0000,0.2154,0.0000,0.9083
10,3,50,1,100,0.6318,0.3213,0.6318,0.1923,0.3231,0.0000,0.7920
15,3,50,1,100,0.6296,0.3276,0.6296,0.2885,0.2769,0.0000,0.7829
20,3,50,1,100,0.6013,0.2795,0.6013,0.0577,0.3538,0.0000,0.7645
25,3,50,1,100,0.6057,0.3212,0.6057,0.2308,0.3385,0.0000,0.7462
30,3,50,1,100,0.6405,0.3150,0.6405,0.1731,0.2769,0.0000,0.8165
35,3,50,1,100,0.6471,0.3334,0.6471,0.1346,0.2769,0.0667,0.8287
40,3,50,1,100,0.6340,0.3297,0.6340,0.1538,0.2154,0.1333,0.8165
45,3,50,1,100,0.5904,0.2785,0.5904,0.1731,0.1846,0.0000,0.7645
50,3,50,1,100,0.6318,0.3316,0.6318,0.1346,0.3231,0.0667,0.7982
55,3,50,1,100,0.6253,0.3459,0.6253,0.2115,0.3231,0.0667,0.7768
60,3,50,1,100,0.6580,0.3620,0.6580,0.1538,0.3231,0.1333,0.8287
65,3,50,1,100,0.6296,0.3428,0.6296,0.2308,0.2769,0.0667,0.7890
70,3,50,1,100,0.6362,0.3498,0.6362,0.1923,0.2615,0.1333,0.8043
75,3,50,1,100,0.6166,0.3208,0.6166,0.1923,0.3385,0.0000,0.7676
80,3,50,1,100,0.6492,0.3559,0.6492,0.2115,0.3077,0.0667,0.8135
85,3,50,1,100,0.6253,0.3080,0.6253,0.2115,0.2154,0.0000,0.8012
90,3,50,1,100,0.5969,0.3340,0.5969,0.2115,0.2615,0.1333,0.7462
95,3,50,1,100,0.6340,0.3521,0.6340,0.1731,0.3077,0.1333,0.7951
100,3,50,1,100,0.6187,0.3162,0.6187,0.1731,0.3231,0.0000,0.7768
105,3,50,1,100,0.6209,0.2987,0.6209,0.1346,0.1692,0.0667,0.8135
110,3,50,1,100,0.6601,0.3341,0.6601,0.2308,0.2615,0.0000,0.8379
115,3,50,1,100,0.6383,0.3251,0.6383,0.2500,0.2308,0.0000,0.8104
120,3,50,1,100,0.6166,0.3372,0.6166,0.3654,0.2769,0.0000,0.7523
125,3,50,1,100,0.6688,0.3705,0.6688,0.3269,0.2308,0.0667,0.8379
130,3,50,1,100,0.6667,0.3569,0.6667,0.2692,0.2154,0.0667,0.8471
135,3,50,1,100,0.6514,0.3385,0.6514,0.3462,0.2154,0.0000,0.8165
140,3,50,1,100,0.6383,0.3511,0.6383,0.2500,0.2769,0.0667,0.7982
145,3,50,1,100,0.6362,0.3241,0.6362,0.2308,0.2615,0.0000,0.8043
150,3,50,1,100,0.6776,0.3391,0.6776,0.2308,0.2462,0.0000,0.8654
155,3,50,1,100,0.6449,0.3348,0.6449,0.2308,0.2000,0.0667,0.8257
160,3,50,1,100,0.6776,0.3633,0.6776,0.1923,0.2000,0.1333,0.8746
165,3,50,1,100,0.6797,0.3594,0.6797,0.2500,0.1538,0.1333,0.8777
170,3,50,1,100,0.6623,0.3455,0.6623,0.3269,0.1385,0.0667,0.8471
175,3,50,1,100,0.6296,0.3247,0.6296,0.2692,0.1538,0.0667,0.8073
180,3,50,1,100,0.6558,0.3633,0.6558,0.4423,0.2462,0.0000,0.8012
185,3,50,1,100,0.6776,0.3390,0.6776,0.2692,0.2000,0.0000,0.8685
190,3,50,1,100,0.6667,0.3552,0.6667,0.3269,0.2462,0.0000,0.8349
195,3,50,1,100,0.6471,0.3612,0.6471,0.3269,0.2308,0.0667,0.8073
200,3,50,1,100,0.6819,0.3772,0.6819,0.3269,0.2154,0.0667,0.8593
5,3,50,1,200,0.6819,0.2434,0.6819,0.1429,0.0000,0.0000,0.8997
10,3,50,1,200,0.5534,0.2680,0.5534,0.1429,0.3137,0.0000,0.6785
15,3,50,1,200,0.5991,0.3076,0.5991,0.1964,0.1176,0.1538,0.7552
20,3,50,1,200,0.5621,0.3043,0.5621,0.1964,0.1569,0.2308,0.6962
25,3,50,1,200,0.6035,0.2907,0.6035,0.1429,0.0980,0.1538,0.7729
30,3,50,1,200,0.6166,0.3022,0.6166,0.1071,0.1373,0.2308,0.7876
35,3,50,1,200,0.5708,0.2956,0.5708,0.0893,0.1569,0.2308,0.7257
40,3,50,1,200,0.6427,0.3195,0.6427,0.1786,0.0784,0.1538,0.8230
45,3,50,1,200,0.6231,0.3037,0.6231,0.1429,0.0980,0.1538,0.7994
50,3,50,1,200,0.5817,0.2877,0.5817,0.1250,0.1176,0.2308,0.7404
55,3,50,1,200,0.6013,0.3332,0.6013,0.1607,0.1569,0.2308,0.7552
60,3,50,1,200,0.6253,0.3072,0.6253,0.1429,0.1373,0.1538,0.7965
65,3,50,1,200,0.6187,0.3235,0.6187,0.1786,0.1569,0.1538,0.7788
70,3,50,1,200,0.6340,0.3541,0.6340,0.1964,0.1373,0.2308,0.7965
75,3,50,1,200,0.6100,0.3376,0.6100,0.2143,0.1373,0.2308,0.7611
80,3,50,1,200,0.6100,0.3135,0.6100,0.1607,0.1765,0.1538,0.7670
85,3,50,1,200,0.6471,0.3234,0.6471,0.1964,0.1176,0.1538,0.8201
90,3,50,1,200,0.5861,0.2889,0.5861,0.1250,0.1373,0.1538,0.7463
95,3,50,1,200,0.6340,0.3088,0.6340,0.0893,0.1373,0.1538,0.8171
100,3,50,1,200,0.6296,0.3119,0.6296,0.1071,0.1765,0.1538,0.8024
105,3,50,1,200,0.5991,0.2798,0.5991,0.0893,0.1176,0.1538,0.7729
110,3,50,1,200,0.6122,0.3369,0.6122,0.2321,0.0980,0.2308,0.7670
115,3,50,1,200,0.6275,0.3337,0.6275,0.2321,0.1373,0.1538,0.7847
120,3,50,1,200,0.5904,0.3330,0.5904,0.1786,0.2353,0.1538,0.7286
125,3,50,1,200,0.5904,0.2976,0.5904,0.1964,0.0980,0.1538,0.7463
130,3,50,1,200,0.6100,0.3012,0.6100,0.1607,0.0784,0.1538,0.7817
135,3,50,1,200,0.6166,0.3009,0.6166,0.1071,0.0980,0.1538,0.7965
140,3,50,1,200,0.6035,0.2899,0.6035,0.0893,0.0980,0.1538,0.7817
145,3,50,1,200,0.6057,0.3154,0.6057,0.1964,0.1569,0.1538,0.7581
150,3,50,1,200,0.6122,0.3317,0.6122,0.2321,0.1569,0.1538,0.7611
155,3,50,1,200,0.6122,0.3015,0.6122,0.1964,0.0784,0.1538,0.7788
160,3,50,1,200,0.6253,0.3122,0.6253,0.1607,0.0588,0.2308,0.8024
165,3,50,1,200,0.6209,0.3217,0.6209,0.1786,0.1176,0.2308,0.7847
170,3,50,1,200,0.6166,0.3076,0.6166,0.1607,0.0784,0.2308,0.7876
175,3,50,1,200,0.6144,0.3237,0.6144,0.1786,0.0980,0.2308,0.7788
180,3,50,1,200,0.6187,0.2993,0.6187,0.1250,0.0980,0.1538,0.7965
185,3,50,1,200,0.6209,0.3272,0.6209,0.1607,0.1176,0.3077,0.7847
190,3,50,1,200,0.6296,0.3245,0.6296,0.1071,0.2157,0.1538,0.7965
195,3,50,1,200,0.6231,0.3206,0.6231,0.1250,0.1961,0.1538,0.7876
200,3,50,1,200,0.6122,0.3038,0.6122,0.1250,0.1569,0.1538,0.7788
5,3,100,1,50,0.6645,0.2492,0.6645,0.1607,0.0000,0.0000,0.9397
10,3,100,1,50,0.6536,0.2966,0.6536,0.1429,0.1594,0.0000,0.8921
15,3,100,1,50,0.6187,0.2380,0.6187,0.0357,0.1014,0.0000,0.8730
20,3,100,1,50,0.6166,0.2879,0.6166,0.0893,0.2754,0.0000,0.8222
25,3,100,1,50,0.6427,0.2859,0.6427,0.1071,0.1739,0.0000,0.8794
30,3,100,1,50,0.5817,0.3225,0.5817,0.1786,0.3188,0.0526,0.7429
35,3,100,1,50,0.6427,0.3284,0.6427,0.1786,0.1739,0.0526,0.8635
40,3,100,1,50,0.6253,0.3473,0.6253,0.2143,0.2754,0.0526,0.8095
45,3,100,1,50,0.6296,0.3339,0.6296,0.1429,0.2899,0.0526,0.8254
50,3,100,1,50,0.6318,0.3085,0.6318,0.1786,0.1304,0.0526,0.8571
55,3,100,1,50,0.6187,0.3212,0.6187,0.1429,0.1884,0.1053,0.8286
60,3,100,1,50,0.6558,0.3177,0.6558,0.1607,0.2174,0.0000,0.8794
65,3,100,1,50,0.6253,0.2721,0.6253,0.1429,0.0435,0.0526,0.8730
70,3,100,1,50,0.6253,0.2870,0.6253,0.0893,0.1449,0.0526,0.8603
75,3,100,1,50,0.6100,0.2935,0.6100,0.1429,0.2174,0.0000,0.8159
80,3,100,1,50,0.6231,0.2686,0.6231,0.0714,0.1594,0.0000,0.8603
85,3,100,1,50,0.6078,0.2941,0.6078,0.1607,0.2174,0.0000,0.8095
90,3,100,1,50,0.6231,0.2905,0.6231,0.0536,0.1449,0.1053,0.8603
95,3,100,1,50,0.6296,0.3485,0.6296,0.2500,0.1739,0.1053,0.8286
100,3,100,1,50,0.6580,0.2739,0.6580,0.0536,0.1594,0.0000,0.9143
105,3,100,1,50,0.6514,0.3455,0.6514,0.1429,0.1884,0.1053,0.8762
110,3,100,1,50,0.6340,0.3003,0.6340,0.1429,0.1159,0.0526,0.8698
115,3,100,1,50,0.5556,0.2872,0.5556,0.2679,0.1884,0.0000,0.7206
120,3,100,1,50,0.6166,0.2725,0.6166,0.1250,0.1304,0.0000,0.8476
125,3,100,1,50,0.5839,0.2977,0.5839,0.1250,0.2319,0.0526,0.7746
130,3,100,1,50,0.5817,0.3138,0.5817,0.1786,0.1594,0.1053,0.7746
135,3,100,1,50,0.6057,0.2873,0.6057,0.1964,0.1449,0.0000,0.8159
140,3,100,1,50,0.6100,0.3145,0.6100,0.1250,0.1739,0.1053,0.8222
145,3,100,1,50,0.6296,0.3040,0.6296,0.1250,0.1594,0.0526,0.8571
150,3,100,1,50,0.5752,0.2959,0.5752,0.3036,0.1739,0.0000,0.7460
155,3,100,1,50,0.6100,0.2976,0.6100,0.1786,0.1304,0.0526,0.8254
160,3,100,1,50,0.5861,0.2985,0.5861,0.2143,0.2174,0.0000,0.7683
165,3,100,1,50,0.6100,0.2706,0.6100,0.1071,0.1594,0.0000,0.8349
170,3,100,1,50,0.5839,0.2867,0.5839,0.1964,0.1884,0.0000,0.7746
175,3,100,1,50,0.5948,0.3045,0.5948,0.2143,0.1449,0.0526,0.7937
180,3,100,1,50,0.6253,0.2900,0.6253,0.1429,0.1739,0.0000,0.8476
185,3,100,1,50,0.5839,0.2839,0.5839,0.1429,0.1449,0.0526,0.7905
190,3,100,1,50,0.6405,0.3465,0.6405,0.1071,0.2029,0.1579,0.8603
195,3,100,1,50,0.5948,0.2961,0.5948,0.1250,0.2029,0.0526,0.7968
200,3,100,1,50,0.6209,0.2864,0.6209,0.1071,0.1304,0.0526,0.8540
5,3,100,1,100,0.6885,0.2126,0.6885,0.0200,0.0000,0.0000,0.9265
10,3,100,1,100,0.6492,0.2630,0.6492,0.0400,0.2264,0.0000,0.8353
15,3,100,1,100,0.6187,0.2586,0.6187,0.0600,0.2264,0.0000,0.7912
20,3,100,1,100,0.5948,0.2585,0.5948,0.0800,0.2264,0.0000,0.7559
25,3,100,1,100,0.6710,0.3065,0.6710,0.1400,0.1321,0.0625,0.8618
30,3,100,1,100,0.6383,0.2781,0.6383,0.1200,0.1887,0.0000,0.8147
35,3,100,1,100,0.6318,0.2640,0.6318,0.1000,0.1509,0.0000,0.8147
40,3,100,1,100,0.6623,0.2774,0.6623,0.1200,0.1321,0.0000,0.8559
45,3,100,1,100,0.6449,0.2554,0.6449,0.0800,0.1132,0.0000,0.8412
50,3,100,1,100,0.6340,0.2615,0.6340,0.1000,0.1321,0.0000,0.8206
55,3,100,1,100,0.6253,0.2528,0.6253,0.0800,0.1321,0.0000,0.8118
60,3,100,1,100,0.5882,0.2554,0.5882,0.1000,0.1887,0.0000,0.7500
65,3,100,1,100,0.6209,0.2909,0.6209,0.1600,0.2453,0.0000,0.7765
70,3,100,1,100,0.6449,0.2700,0.6449,0.0800,0.1887,0.0000,0.8294
75,3,100,1,100,0.6383,0.2730,0.6383,0.1600,0.1132,0.0000,0.8206
80,3,100,1,100,0.6383,0.2629,0.6383,0.1200,0.1132,0.0000,0.8265
85,3,100,1,100,0.6558,0.2810,0.6558,0.1000,0.1887,0.0000,0.8412
90,3,100,1,100,0.6187,0.2599,0.6187,0.1000,0.1509,0.0000,0.7971
95,3,100,1,100,0.6514,0.2729,0.6514,0.0800,0.1887,0.0000,0.8382
100,3,100,1,100,0.6601,0.2556,0.6601,0.1200,0.0566,0.0000,0.8647
105,3,100,1,100,0.6645,0.2461,0.6645,0.0600,0.0755,0.0000,0.8765
110,3,100,1,100,0.6362,0.2840,0.6362,0.1000,0.1509,0.0625,0.8176
115,3,100,1,100,0.6601,0.2922,0.6601,0.1000,0.2264,0.0000,0.8412
120,3,100,1,100,0.6187,0.2586,0.6187,0.1000,0.1321,0.0000,0.8000
125,3,100,1,100,0.6427,0.2784,0.6427,0.1200,0.1698,0.0000,0.8235
130,3,100,1,100,0.6536,0.2953,0.6536,0.1400,0.2075,0.0000,0.8294
135,3,100,1,100,0.6449,0.2779,0.6449,0.1200,0.1698,0.0000,0.8265
140,3,100,1,100,0.6558,0.2867,0.6558,0.1000,0.2264,0.0000,0.8353
145,3,100,1,100,0.6427,0.2857,0.6427,0.1600,0.1698,0.0000,0.8176
150,3,100,1,100,0.6427,0.2793,0.6427,0.1400,0.1698,0.0000,0.8206
155,3,100,1,100,0.6732,0.3011,0.6732,0.1400,0.2075,0.0000,0.8559
160,3,100,1,100,0.6688,0.3193,0.6688,0.1800,0.1509,0.0625,0.8500
165,3,100,1,100,0.6078,0.2815,0.6078,0.1000,0.1698,0.0625,0.7765
170,3,100,1,100,0.6209,0.2732,0.6209,0.1400,0.1698,0.0000,0.7912
175,3,100,1,100,0.6580,0.2749,0.6580,0.1000,0.1509,0.0000,0.8500
180,3,100,1,100,0.6623,0.2844,0.6623,0.1400,0.1509,0.0000,0.8500
185,3,100,1,100,0.6209,0.2796,0.6209,0.1600,0.0943,0.0625,0.7971
190,3,100,1,100,0.6449,0.2766,0.6449,0.0800,0.2075,0.0000,0.8265
195,3,100,1,100,0.6580,0.3069,0.6580,0.1600,0.2453,0.0000,0.8265
200,3,100,1,100,0.6514,0.2895,0.6514,0.1400,0.1887,0.0000,0.8294
5,3,100,1,200,0.6950,0.2128,0.6950,0.0000,0.0161,0.0000,1.0000
10,3,100,1,200,0.6492,0.2603,0.6492,0.0656,0.1129,0.0000,0.9025
15,3,100,1,200,0.6536,0.2387,0.6536,0.0164,0.0806,0.0000,0.9245
20,3,100,1,200,0.5708,0.3565,0.5708,0.2787,0.1452,0.3889,0.7201
25,3,100,1,200,0.5425,0.3101,0.5425,0.1803,0.1774,0.1667,0.7044
30,3,100,1,200,0.6035,0.3386,0.6035,0.2131,0.0806,0.3333,0.7956
35,3,100,1,200,0.6078,0.3408,0.6078,0.1148,0.1613,0.2222,0.8113
40,3,100,1,200,0.5969,0.3347,0.5969,0.1639,0.2742,0.1111,0.7704
45,3,100,1,200,0.6057,0.2952,0.6057,0.1148,0.1935,0.0556,0.8113
50,3,100,1,200,0.6318,0.3291,0.6318,0.0820,0.1774,0.1667,0.8522
55,3,100,1,200,0.6492,0.3326,0.6492,0.1148,0.1613,0.1111,0.8774
60,3,100,1,200,0.5752,0.3090,0.5752,0.0984,0.2097,0.1667,0.7610
65,3,100,1,200,0.6362,0.3563,0.6362,0.0656,0.2419,0.2222,0.8459
70,3,100,1,200,0.6645,0.3594,0.6645,0.1475,0.2258,0.1111,0.8805
75,3,100,1,200,0.6558,0.3805,0.6558,0.1311,0.1613,0.2778,0.8742
80,3,100,1,200,0.6187,0.3036,0.6187,0.1148,0.1290,0.1111,0.8396
85,3,100,1,200,0.6187,0.2885,0.6187,0.0328,0.1452,0.1111,0.8522
90,3,100,1,200,0.6449,0.3359,0.6449,0.0984,0.2097,0.1111,0.8648
95,3,100,1,200,0.6296,0.3190,0.6296,0.1148,0.1613,0.1111,0.8491
100,3,100,1,200,0.6427,0.3117,0.6427,0.0820,0.1452,0.1111,0.8774
105,3,100,1,200,0.6340,0.3410,0.6340,0.0492,0.2419,0.1667,0.8491
110,3,100,1,200,0.6144,0.3379,0.6144,0.0984,0.2742,0.1111,0.8082
115,3,100,1,200,0.6558,0.3319,0.6558,0.0984,0.1774,0.1111,0.8868
120,3,100,1,200,0.6471,0.3674,0.6471,0.1311,0.2742,0.1667,0.8459
125,3,100,1,200,0.6536,0.3863,0.6536,0.1311,0.2903,0.2222,0.8491
130,3,100,1,200,0.6449,0.3477,0.6449,0.0820,0.1774,0.2222,0.8679
135,3,100,1,200,0.6405,0.3255,0.6405,0.0656,0.1774,0.1667,0.8679
140,3,100,1,200,0.6253,0.3130,0.6253,0.0984,0.2419,0.0556,0.8333
145,3,100,1,200,0.6144,0.3099,0.6144,0.1148,0.1774,0.1111,0.8239
150,3,100,1,200,0.6166,0.3021,0.6166,0.0656,0.2581,0.0556,0.8239
155,3,100,1,200,0.6187,0.3246,0.6187,0.1148,0.2097,0.1111,0.8239
160,3,100,1,200,0.6275,0.3198,0.6275,0.1803,0.1774,0.0556,0.8333
165,3,100,1,200,0.6514,0.3666,0.6514,0.1803,0.2419,0.1111,0.8522
170,3,100,1,200,0.6231,0.3510,0.6231,0.1311,0.2419,0.1667,0.8176
175,3,100,1,200,0.6275,0.3570,0.6275,0.1639,0.1613,0.2222,0.8302
180,3,100,1,200,0.6296,0.2927,0.6296,0.1311,0.1129,0.0556,0.8585
185,3,100,1,200,0.6253,0.3063,0.6253,0.1803,0.1290,0.0556,0.8396
190,3,100,1,200,0.6166,0.2948,0.6166,0.1311,0.1452,0.0556,0.8333
195,3,100,1,200,0.6318,0.3047,0.6318,0.1311,0.1613,0.0556,0.8522
200,3,100,1,200,0.6471,0.3064,0.6471,0.0656,0.2097,0.0556,0.8774
5,3,200,1,50,0.7233,0.2099,0.7233,0.0000,0.0000,0.0000,1.0000
10,3,200,1,50,0.7255,0.2276,0.7255,0.0000,0.0370,0.0000,0.9970
15,3,200,1,50,0.7124,0.2759,0.7124,0.1607,0.0370,0.0000,0.9518
20,3,200,1,50,0.6340,0.2958,0.6340,0.2321,0.1667,0.0000,0.8102
25,3,200,1,50,0.6580,0.3006,0.6580,0.2679,0.1111,0.0000,0.8464
30,3,200,1,50,0.6536,0.3166,0.6536,0.1250,0.1111,0.1176,0.8584
35,3,200,1,50,0.6492,0.3918,0.6492,0.1964,0.2593,0.2941,0.8072
40,3,200,1,50,0.6362,0.2998,0.6362,0.1786,0.1111,0.0588,0.8283
45,3,200,1,50,0.6623,0.3600,0.6623,0.2321,0.1667,0.1176,0.8434
50,3,200,1,50,0.6841,0.3806,0.6841,0.1429,0.2222,0.2353,0.8735
55,3,200,1,50,0.6471,0.3836,0.6471,0.2321,0.2593,0.1765,0.8042
60,3,200,1,50,0.6776,0.3471,0.6776,0.1607,0.2593,0.0588,0.8645
65,3,200,1,50,0.6405,0.3168,0.6405,0.1786,0.1852,0.0588,0.8223
70,3,200,1,50,0.6492,0.3233,0.6492,0.1964,0.2963,0.0000,0.8163
75,3,200,1,50,0.6253,0.3985,0.6253,0.3036,0.2407,0.2353,0.7620
80,3,200,1,50,0.6078,0.2832,0.6078,0.1429,0.2407,0.0000,0.7771
85,3,200,1,50,0.6318,0.3515,0.6318,0.1786,0.2963,0.1176,0.7892
90,3,200,1,50,0.6405,0.3200,0.6405,0.1964,0.1852,0.0588,0.8193
95,3,200,1,50,0.6296,0.3219,0.6296,0.1607,0.2593,0.0588,0.7982
100,3,200,1,50,0.6405,0.3490,0.6405,0.1607,0.3148,0.1176,0.8012
105,3,200,1,50,0.6383,0.3458,0.6383,0.1964,0.2407,0.1176,0.8042
110,3,200,1,50,0.6558,0.3429,0.6558,0.3214,0.0926,0.1176,0.8313
115,3,200,1,50,0.6231,0.3486,0.6231,0.3214,0.2593,0.0588,0.7620
120,3,200,1,50,0.6253,0.3519,0.6253,0.2143,0.2778,0.1176,0.7771
125,3,200,1,50,0.6427,0.3705,0.6427,0.1964,0.2037,0.2353,0.8102
130,3,200,1,50,0.6318,0.3270,0.6318,0.1964,0.2407,0.0588,0.7982
135,3,200,1,50,0.6514,0.3198,0.6514,0.2143,0.1481,0.0588,0.8373
140,3,200,1,50,0.6253,0.3642,0.6253,0.3214,0.2222,0.1176,0.7681
145,3,200,1,50,0.6427,0.3296,0.6427,0.1964,0.2222,0.0588,0.8163
150,3,200,1,50,0.6558,0.3545,0.6558,0.2679,0.1667,0.1176,0.8283
155,3,200,1,50,0.6558,0.3832,0.6558,0.3036,0.1852,0.1765,0.8163
160,3,200,1,50,0.6427,0.3332,0.6427,0.3036,0.1481,0.0588,0.8102
165,3,200,1,50,0.6558,0.3097,0.6558,0.1964,0.1852,0.0000,0.8434
170,3,200,1,50,0.6318,0.3251,0.6318,0.1786,0.2593,0.0588,0.7982
175,3,200,1,50,0.6383,0.3183,0.6383,0.1607,0.2222,0.0588,0.8163
180,3,200,1,50,0.6383,0.3699,0.6383,0.2500,0.2593,0.1765,0.7892
185,3,200,1,50,0.6580,0.3827,0.6580,0.2679,0.2222,0.1765,0.8193
190,3,200,1,50,0.6732,0.3516,0.6732,0.3036,0.1667,0.0588,0.8494
195,3,200,1,50,0.6492,0.3434,0.6492,0.1607,0.2222,0.1176,0.8283
200,3,200,1,50,0.6514,0.3379,0.6514,0.1964,0.2407,0.0588,0.8253
5,3,200,1,100,0.7233,0.2099,0.7233,0.0000,0.0000,0.0000,1.0000
10,3,200,1,100,0.7015,0.2510,0.7015,0.0000,0.1404,0.0000,0.9458
15,3,200,1,100,0.6797,0.2554,0.6797,0.0943,0.0526,0.0000,0.9157
20,3,200,1,100,0.6209,0.2830,0.6209,0.1132,0.1404,0.0588,0.8133
25,3,200,1,100,0.6580,0.3085,0.6580,0.2264,0.0877,0.0588,0.8554
30,3,200,1,100,0.5926,0.2855,0.5926,0.1132,0.3333,0.0000,0.7440
35,3,200,1,100,0.6449,0.2740,0.6449,0.0755,0.1930,0.0000,0.8464
40,3,200,1,100,0.5773,0.2859,0.5773,0.1698,0.1754,0.0588,0.7380
45,3,200,1,100,0.6405,0.2886,0.6405,0.1509,0.1579,0.0000,0.8343
50,3,200,1,100,0.6296,0.2858,0.6296,0.2453,0.0877,0.0000,0.8163
55,3,200,1,100,0.6580,0.2712,0.6580,0.1132,0.1053,0.0000,0.8735
60,3,200,1,100,0.6296,0.2534,0.6296,0.1132,0.0702,0.0000,0.8404
65,3,200,1,100,0.6231,0.2805,0.6231,0.1132,0.1228,0.0588,0.8193
70,3,200,1,100,0.6296,0.2920,0.6296,0.1698,0.1754,0.0000,0.8133
75,3,200,1,100,0.6383,0.3043,0.6383,0.2264,0.1579,0.0000,0.8193
80,3,200,1,100,0.6471,0.2894,0.6471,0.1887,0.1228,0.0000,0.8434
85,3,200,1,100,0.6253,0.2869,0.6253,0.1321,0.2105,0.0000,0.8072
90,3,200,1,100,0.6514,0.2896,0.6514,0.1698,0.1404,0.0000,0.8494
95,3,200,1,100,0.6471,0.2847,0.6471,0.1698,0.1228,0.0000,0.8464
100,3,200,1,100,0.6558,0.2864,0.6558,0.1132,0.1754,0.0000,0.8584
105,3,200,1,100,0.6906,0.2783,0.6906,0.1321,0.0702,0.0000,0.9217
110,3,200,1,100,0.6623,0.2993,0.6623,0.1509,0.1754,0.0000,0.8614
115,3,200,1,100,0.6209,0.2961,0.6209,0.1887,0.2105,0.0000,0.7922
120,3,200,1,100,0.6405,0.2860,0.6405,0.1132,0.2105,0.0000,0.8313
125,3,200,1,100,0.6449,0.2832,0.6449,0.1132,0.1053,0.0588,0.8524
130,3,200,1,100,0.6449,0.2698,0.6449,0.1132,0.1228,0.0000,0.8524
135,3,200,1,100,0.6209,0.2522,0.6209,0.0755,0.1228,0.0000,0.8253
140,3,200,1,100,0.6122,0.2630,0.6122,0.1887,0.0526,0.0000,0.8072
145,3,200,1,100,0.6035,0.2961,0.6035,0.1698,0.1754,0.0588,0.7741
150,3,200,1,100,0.6645,0.2994,0.6645,0.1698,0.1579,0.0000,0.8645
155,3,200,1,100,0.6449,0.2810,0.6449,0.1321,0.1404,0.0000,0.8464
160,3,200,1,100,0.6536,0.2576,0.6536,0.0755,0.1053,0.0000,0.8735
165,3,200,1,100,0.5926,0.2929,0.5926,0.1887,0.1579,0.0588,0.7590
